s.no,topic,title,url
48,Apache Kafka,Apache Kafka for Beginners - Learn Kafka by Hands-On,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/apache-kafka-deep-dive-hands-on-using-javabuilt-in-scripts
49,Ansible, Ansible tutorial ,https://github.com/leucos/ansible-tuto
50,Ansible, Ansible Hands-On Training,https://www.youtube.com/watch?v=w8fOEEMqpOw
51,Ansible,19 Minutes With Ansible,https://sysadmincasts.com/episodes/43-19-minutes-with-ansible-part-1-4
52,Ansible,Ansible Quick Start,http://ryaneschinger.com/blog/ansible-quick-start/
53,Ansible,DevOps - Ansible for the Absolute Beginners,https://www.skillshare.com/classes/DevOps-Ansible-for-the-Absolute-Beginners/711623258
54,Ansible,Основы Ansible,https://ru.hexlet.io/courses/ansible
55,Ansible,Ansible: Installation and Basics,https://serversforhackers.com/s/ansible
56,Ansible,An Ansible Tutorial,https://serversforhackers.com/an-ansible-tutorial
57,Ansible,Mastering Ansible,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/mastering-ansible/
58,Angular,AngularJS Tutorial by W3Schools,http://www.w3schools.com/angular/
59,Angular,Angular Crash Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/angular-crash-course/
60,Angular,Learn AngularJS,http://www.learn-angular.org/
61,Apache Kafka,Apache Kafka Series - Confluent Schema Registry & REST Proxy,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/confluent-schema-registry
62,Apache Kafka,Apache Kafka Series - Kafka Cluster Setup & Administration,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/kafka-cluster-setup
63,Ansible,Learn How to Install Ansible and Run Playbooks,https://www.linode.com/docs/applications/configuration-management/learn-how-to-install-ansible-and-run-playbooks
64,Ansible,Getting Started with Ansible,http://tomoconnor.eu/blogish/getting-started-ansible/#.VlVl7bcrLcs
65,Angular,Angular Fundamentals,https://ultimateangular.com/angular-fundamentals
66,Angular,A Better Way to Learn AngularJS,https://thinkster.io/a-better-way-to-learn-angularjs/
67,ASP.NET,Введение в XNA,https://www.intuit.ru/studies/courses/504/360/info
68,ASP.NET,Getting Started with ASP.NET MVC 5 ,http://www.asp.net/mvc/overview/getting-started/introduction/getting-started
69,ASP.NET,The Complete ASP.NET MVC 5 Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-complete-aspnet-mvc-5-course/
70,ASP.NET,ASP.NET tutorial for beginners ,http://www.youtube.com/playlist?list=PL6n9fhu94yhXQS_p1i-HLIftB9Y7Vnxlo
71,ASP.NET, Introduction to ASP.NET MVC,http://www.microsoftvirtualacademy.com/training-courses/introduction-to-asp-net-mvc
72,ASP.NET,Become a Full-stack .NET Developer,https://www.pluralsight.com/courses/full-stack-dot-net-developer-fundamentals
73,Artificial Intelligence,Intro to Artificial Intelligence - Udacity,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271
74,Artificial Intelligence,MIT Open Courseware - Artificial Intelligence,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-034-artificial-intelligence-fall-2010/lecture-videos/
75,Artificial Intelligence,Artificial Intelligence A-Z: Learn How To Build An AI,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/artificial-intelligence-az/
76,Artificial Intelligence,Intro to AI — UC Berkeley CS188,http://ai.berkeley.edu/lecture_videos.html
77,Artificial Intelligence,Artificial Intelligence: A Modern Approach,https://www.amazon.com/Artificial-Intelligence-Modern-Approach-3rd/dp/0136042597/?tag=hackr-20
78,Artificial Intelligence,Microsoft Professional Program in Artificial Intelligence,http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/microsoft-professional-program-artificial-intelligence
